time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-29T22:07:05.530Z,37.6643333,-118.8505,-0.09,0.49,md,11,100,0.02877,0.05,nc,nc72991370,2018-03-29T22:56:01.426Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.31,0.61,0.172,9,reviewed,nc,nc
2018-03-29T22:05:57.311Z,63.1697,-150.712,127.5,2.5,ml,,,,0.49,ak,ak18825064,2018-03-29T22:10:50.373Z,"91km WSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T22:02:15.830Z,38.7926674,-122.7618332,3.07,1.2,md,16,86,0.02039,0.05,nc,nc72991365,2018-03-29T22:56:03.426Z,"2km NNW of The Geysers, CA",earthquake,0.34,0.83,0.07,6,automatic,nc,nc
2018-03-29T22:00:45.969Z,38.4117,-118.9212,9.7,1.2,ml,6,140.59,0.364,0.1123,nn,nn00628202,2018-03-30T02:05:28.996Z,"28km WSW of Hawthorne, Nevada",earthquake,,23,0.06,2,reviewed,nn,nn
2018-03-29T21:58:04.118Z,36.4807,-115.2922,2.5,0.2,ml,6,190.74,0.112,0.1408,nn,nn00628201,2018-03-30T02:05:27.638Z,"33km NW of Nellis Air Force Base, Nevada",earthquake,,22.8,0.32,2,reviewed,nn,nn
2018-03-29T21:49:55.710Z,-5.5112,151.6608,35,5.1,mb,,65,5.497,0.79,us,us1000db50,2018-03-30T05:52:22.628Z,"144km SSW of Kokopo, Papua New Guinea",earthquake,8.2,1.9,0.086,44,reviewed,us,us
2018-03-29T21:38:37.970Z,-5.538,151.6129,35,5.3,mb,,59,5.477,1.04,us,us1000db4s,2018-03-30T05:41:11.102Z,"149km SSW of Kokopo, Papua New Guinea",earthquake,8.6,2,0.06,92,reviewed,us,us
2018-03-29T21:36:31.541Z,63.8189,-149.111,12.1,1.2,ml,,,,0.39,ak,ak18825012,2018-03-29T21:40:36.629Z,"8km WSW of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T21:25:36.490Z,-5.4748,151.442,35,6.9,mww,,25,5.306,1.23,us,us1000db40,2018-03-30T02:35:28.754Z,"144km E of Kimbe, Papua New Guinea",earthquake,7.4,1.9,0.057,30,reviewed,us,us
2018-03-29T21:20:17.111Z,39.5537,-120.3757,7.3,0.5,ml,8,188.42,0.207,0.1381,nn,nn00628200,2018-03-30T02:05:25.722Z,"29km SSE of Portola, California",earthquake,,4.3,0.33,3,reviewed,nn,nn
2018-03-29T21:19:57.800Z,38.8255005,-122.8068314,2.41,1.02,md,20,60,0.003292,0.04,nc,nc72991320,2018-03-29T21:21:34.391Z,"7km NW of The Geysers, CA",earthquake,0.27,0.44,0.05,5,automatic,nc,nc
2018-03-29T21:07:26.200Z,38.8009987,-122.7938309,2.66,0.87,md,10,84,0.007054,0.04,nc,nc72991315,2018-03-29T21:40:02.849Z,"4km NW of The Geysers, CA",earthquake,0.34,0.69,0.06,5,automatic,nc,nc
2018-03-29T21:01:56.540Z,37.5583333,-118.8263333,2.56,0.6,md,8,241,0.03172,0.06,nc,nc72991310,2018-03-29T22:01:02.105Z,"13km W of Toms Place, CA",earthquake,1.07,1.39,0.244,7,reviewed,nc,nc
2018-03-29T21:00:16.795Z,65.008,-147.362,14.6,1.1,ml,,,,0.92,ak,ak18823831,2018-03-29T21:08:11.287Z,"24km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T20:59:50.640Z,35.6791667,-120.9866667,-0.29,1.2,md,21,115,0.1044,0.12,nc,nc72991305,2018-03-30T02:10:03.505Z,"11km WSW of Lake Nacimiento, CA",quarry blast,0.29,31.61,0.329,10,reviewed,nc,nc
2018-03-29T20:59:23.524Z,39.5739,-119.9086,5.6,0.7,ml,10,120.8,0.053,,nn,nn00628092,2018-03-30T02:04:43.268Z,"6km NNE of Mogul, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T20:58:42.020Z,2.6647,96.0564,17.07,4.9,mb,,147,2.032,1.08,us,us1000db31,2018-03-29T21:22:49.040Z,"41km WNW of Sinabang, Indonesia",earthquake,7.9,3.9,0.062,81,reviewed,us,us
2018-03-29T20:53:19.228Z,36.957,-116.8851,0,0.5,ml,11,113.62,0.121,,nn,nn00628090,2018-03-30T02:04:38.828Z,"12km WNW of Beatty, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T20:52:35.730Z,56.2916,-149.2034,10,4,ml,,196,2.376,0.38,us,us1000db2v,2018-03-29T21:06:54.040Z,"256km SE of Kodiak, Alaska",earthquake,6.8,2,0.05,52,reviewed,us,us
2018-03-29T20:50:28.123Z,61.9092,-149.2711,0.1,1.2,ml,,,,0.73,ak,ak18823802,2018-03-29T21:00:25.170Z,"18km N of Fishhook, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-29T20:40:36.112Z,63.6671,-149.8699,135.3,1.9,ml,,,,0.35,ak,ak18823796,2018-03-29T20:46:59.261Z,"49km WSW of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-29T20:23:51.410Z,37.214,-118.2733333,10.62,0.7,md,5,298,0.1481,0.03,nc,nc72991295,2018-03-30T02:05:18.114Z,"6km NNE of Big Pine, CA",earthquake,1.14,1.37,0.194,5,reviewed,nc,nc
2018-03-29T20:22:18.619Z,59.6732,-152.616,79,1.8,ml,,,,0.4,ak,ak18823783,2018-03-29T20:31:17.095Z,"45km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-29T20:17:10.978Z,39.2849,-115.081,1.9,1.5,ml,5,194.51,0.313,0.3059,nn,nn00628081,2018-03-29T20:33:05.795Z,"17km WNW of Ely, Nevada",explosion,,18.4,0.48,4,reviewed,nn,nn
2018-03-29T20:12:07.520Z,56.2455,-148.5538,10,4.2,mb,,158,2.689,0.79,us,us1000db02,2018-03-29T20:27:25.040Z,"290km SE of Kodiak, Alaska",earthquake,9.3,2,0.264,4,reviewed,us,us
2018-03-29T20:01:57.100Z,36.6015,-114.742,0,1.8,ml,17,297.66,0.149,0.35,nn,nn00628069,2018-03-29T20:04:22.900Z,"15km SW of Moapa Town, Nevada",earthquake,,20.2,,,automatic,nn,nn
2018-03-29T20:00:44.542Z,62.045,-148.8997,20.1,2.9,ml,,,,0.78,ak,ak18822670,2018-03-29T20:11:57.848Z,"27km N of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T20:00:13.440Z,43.2968333,-110.7046667,7.11,1.37,ml,9,108,0.126,0.13,mb,mb80287494,2018-03-29T23:02:08.980Z,"6km ENE of Hoback, Wyoming",earthquake,0.79,2.15,0.226,8,reviewed,mb,mb
2018-03-29T19:49:20.590Z,33.4951667,-116.7893333,6.18,0.16,ml,24,57,0.08244,0.15,ci,ci37902383,2018-03-29T20:39:52.715Z,"9km NE of Aguanga, CA",earthquake,0.23,0.88,0.052,3,reviewed,ci,ci
2018-03-29T19:49:05.310Z,33.4935,-116.789,6.32,0.11,ml,19,96,0.08371,0.1,ci,ci37183420,2018-03-29T20:45:54.420Z,"9km NE of Aguanga, CA",earthquake,0.2,0.54,0.071,4,reviewed,ci,ci
2018-03-29T19:48:31.410Z,56.4434,-148.681,13.6,4.3,mb,,139,2.516,0.56,us,us1000daza,2018-03-29T21:12:01.898Z,"270km ESE of Kodiak, Alaska",earthquake,6.6,6.3,0.086,38,reviewed,us,us
2018-03-29T19:32:20.430Z,33.1861667,-115.6068333,2.19,1.09,ml,11,116,0.01139,0.17,ci,ci37902375,2018-03-30T03:35:01.169Z,"10km SW of Niland, CA",earthquake,0.58,0.28,0.455,5,reviewed,ci,ci
2018-03-29T19:30:43.650Z,36.0011667,-117.6838333,2.48,1.29,ml,26,40,0.05968,0.12,ci,ci37902359,2018-03-29T20:08:43.924Z,"21km ENE of Little Lake, CA",earthquake,0.14,0.21,0.092,12,reviewed,ci,ci
2018-03-29T19:24:01.605Z,38.3888,-118.9116,2.6,1.2,ml,6,226.86,0.133,,nn,nn00628172,2018-03-30T02:05:11.882Z,"29km WSW of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T19:21:04.230Z,45.0953333,-122.4855,-1.02,2.08,ml,7,152,0.1107,0.22,uw,uw61358587,2018-03-29T20:27:57.110Z,"9km SE of Molalla, Oregon",explosion,1.15,31.61,0.153,7,reviewed,uw,uw
2018-03-29T19:19:20.380Z,56.5156,-148.5914,10,4.5,mb,,137,2.519,0.78,us,us1000dayk,2018-03-29T20:56:51.330Z,"271km ESE of Kodiak, Alaska",earthquake,5.8,1.9,0.066,67,reviewed,us,us
2018-03-29T19:19:07.450Z,62.5331,-149.0475,60.6,1.3,ml,,,,0.38,ak,ak18822603,2018-03-29T19:35:43.381Z,"58km NE of Y, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-03-29T19:05:57.770Z,34.0516667,-117.3435,-0.46,1.04,ml,18,108,0.06379,0.21,ci,ci37902343,2018-03-29T19:57:38.668Z,"3km NW of Grand Terrace, CA",quarry blast,0.48,31.61,0.151,10,reviewed,ci,ci
2018-03-29T19:03:25.980Z,37.5021667,-118.8256667,5.09,0.67,md,7,248,0.08775,0.02,nc,nc72991265,2018-03-29T20:13:03.237Z,"14km WSW of Toms Place, CA",earthquake,1.29,2.45,0.083,6,reviewed,nc,nc
2018-03-29T19:02:20.243Z,61.2354,-151.1673,59.8,1.2,ml,,,,0.51,ak,ak18821505,2018-03-29T19:33:56.213Z,"61km N of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-29T19:01:07.772Z,60.1455,-141.4003,0.3,1.3,ml,,,,0.88,ak,ak18821500,2018-03-29T19:04:09.104Z,"57km E of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T18:52:46.021Z,61.7061,-150.79,59.4,1.1,ml,,,,0.58,ak,ak18821496,2018-03-29T23:20:37.081Z,"40km W of Willow, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-03-29T18:51:09.010Z,-9.4187,159.5609,10,5.8,mww,,45,11.97,0.85,us,us1000day0,2018-03-30T01:04:13.260Z,"42km W of Honiara, Solomon Islands",earthquake,9.2,1.9,0.073,18,reviewed,us,us
2018-03-29T18:45:29.536Z,61.8951,-148.8849,19.9,1.2,ml,,,,0.57,ak,ak18821493,2018-03-29T18:52:46.626Z,"11km N of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-03-29T18:35:45.516Z,38.4553,-118.1439,9.2,0.6,ml,5,261.39,0.024,,nn,nn00628171,2018-03-30T02:05:10.221Z,"42km E of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
